brnd_name,gnrc_name,mftr_name,tot_mftr,year,cagr_avg_spnd_per_dsg_unt_19_23,chg_avg_spnd_per_dsg_unt_22_23,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,tot_spndng_log
abiraterone acetate,Abiraterone Acetate,amneal pharmace,1,2023,0.172457741,0.340325554,123500590.3,1541073.0,22944,6312.0,87.62962374,5382.69658,19565.99974,0,18.631756501875095
abiraterone acetate,Abiraterone Acetate,dr.reddy's lab,1,2019,0.021273543,0.148815147,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,dr.reddy's lab,1,2020,0.021273543,0.148815147,626395.12,20008.0,159,104.0,31.30723311,3939.59195,6023.03,0,13.347738229514388
abiraterone acetate,Abiraterone Acetate,dr.reddy's lab,1,2021,0.021273543,0.148815147,1840647.11,59117.0,545,239.0,31.13566504,3377.334147,7701.452343,0,14.425628301261096
abiraterone acetate,Abiraterone Acetate,dr.reddy's lab,1,2022,0.021273543,0.148815147,16295701.94,561374.0,4989,1648.0,29.02824488,3266.326306,9888.168653,0,16.606412007709373
abiraterone acetate,Abiraterone Acetate,dr.reddy's lab,1,2023,0.021273543,0.148815147,21878881.67,711446.0,6726,2671.0,33.34808741,3252.881604,8191.269813,0,16.901032467943562
abiraterone acetate,Abiraterone Acetate,"celltrion usa,",1,2019,1.43393858,0.050689369,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,"celltrion usa,",1,2020,1.43393858,0.050689369,945649.24,293706.0,2534,1003.0,3.219713727,373.1843883,942.8207777,0,13.759628054510255
abiraterone acetate,Abiraterone Acetate,"celltrion usa,",1,2021,1.43393858,0.050689369,4898138.39,1457548.0,12936,2784.0,3.360533163,378.6439695,1759.38879,0,15.404365974643826
abiraterone acetate,Abiraterone Acetate,"celltrion usa,",1,2022,1.43393858,0.050689369,120810345.0,3321888.0,33500,7306.0,44.18468523,3606.278955,16535.77128,0,18.60973248549297
abiraterone acetate,Abiraterone Acetate,"celltrion usa,",1,2023,1.43393858,0.050689369,46541913.23,1252560.0,13575,5470.0,46.42437902,3428.501895,8508.576459,0,17.655863845847747
abiraterone acetate,Abiraterone Acetate,rising pharm,1,2019,-0.125146137,-0.299513784,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,rising pharm,1,2020,-0.125146137,-0.299513784,52080902.12,1508851.0,13222,3140.0,34.51692852,3938.957958,16586.27456,0,17.76830889672806
abiraterone acetate,Abiraterone Acetate,rising pharm,1,2021,-0.125146137,-0.299513784,54513705.91,1624314.0,14601,3533.0,33.56106388,3733.55975,15429.86298,0,17.81396273094769
abiraterone acetate,Abiraterone Acetate,rising pharm,1,2022,-0.125146137,-0.299513784,19109349.32,579171.0,5186,2034.0,32.99431311,3684.795472,9394.960334,0,16.765688318778267
abiraterone acetate,Abiraterone Acetate,rising pharm,1,2023,-0.125146137,-0.299513784,19143743.68,828301.0,7450,3421.0,23.11206153,2569.630024,5595.949629,0,16.767486571665696
abiraterone acetate,Abiraterone Acetate,glenmark pharma,1,2019,0.154831471,-0.130599487,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,glenmark pharma,1,2020,0.154831471,-0.130599487,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abiraterone acetate,Abiraterone Acetate,glenmark pharma,1,2021,0.154831471,-0.130599487,582002.55,26368.0,236,185.0,22.07230545,2466.1125,3145.95973,0,13.274231826351329
abiraterone acetate,Abiraterone Acetate,glenmark pharma,1,2022,0.154831471,-0.130599487,36913029.0,1225947.0,11507,3591.0,33.85829047,3207.875989,10279.31746,0,17.42407516321095
abiraterone acetate,Abiraterone Acetate,apotex corp,1,2019,-0.119138847,-0.39502793,114778256.6,2218449.0,19000,6121.0,51.73806413,6040.960875,18751.55312,0,18.55851263018426
abiraterone acetate,Abiraterone Acetate,apotex corp,1,2020,-0.119138847,-0.39502793,71640280.53,1992035.0,17507,4741.0,35.96336436,4092.093479,15110.7953,0,18.087168064936893
abiraterone acetate,Abiraterone Acetate,apotex corp,1,2021,-0.119138847,-0.39502793,43828187.66,1497395.0,13837,3612.0,31.63293566,3167.463154,12134.04974,0,17.595787745052323
abiraterone acetate,Abiraterone Acetate,apotex corp,1,2022,-0.119138847,-0.39502793,53537526.58,1295976.0,13337,3548.0,51.48784095,4014.210586,15089.49453,0,17.79589341605856
abiraterone acetate,Abiraterone Acetate,apotex corp,1,2023,-0.119138847,-0.39502793,100399794.7,3647415.0,35167,9901.0,31.14870572,2854.943404,10140.36912,0,18.424670730359274
abiraterone acetate,Abiraterone Acetate,wockhardt usa l,1,2019,-0.162660933,-0.216763086,8538883.37,196154.0,1712,819.0,43.53152814,4987.66552,10425.98702,0,15.960140921399768
abiraterone acetate,Abiraterone Acetate,wockhardt usa l,1,2020,-0.162660933,-0.216763086,15147557.6,500973.0,4492,1573.0,30.23627541,3372.118789,9629.725111,0,16.533349928418982
abiraterone acetate,Abiraterone Acetate,wockhardt usa l,1,2021,-0.162660933,-0.216763086,9167613.92,373812.0,3463,1352.0,24.52466459,2647.304049,6780.779527,0,16.031187714436722
abiraterone acetate,Abiraterone Acetate,wockhardt usa l,1,2022,-0.162660933,-0.216763086,9032292.89,330584.0,3031,1190.0,27.32223244,2979.97126,7590.162092,0,16.01631692303337
abiraterone acetate,Abiraterone Acetate,wockhardt usa l,1,2023,-0.162660933,-0.216763086,117270.8,5480.0,57,41.0,21.39978102,2057.382456,2860.263415,0,11.67224959653148
abiraterone acetate,Abiraterone Acetate,teva usa,1,2019,-0.085697974,0.172911209,11777466.4,236279.0,2016,679.0,49.84559102,5841.997222,17345.31134,0,16.28169872156269
abiraterone acetate,Abiraterone Acetate,teva usa,1,2020,-0.085697974,0.172911209,3613882.86,96508.0,862,325.0,37.44645895,4192.439513,11119.63957,0,15.10029361348069
abiraterone acetate,Abiraterone Acetate,teva usa,1,2021,-0.085697974,0.172911209,396597.29,11915.0,103,25.0,33.28554679,3850.459126,15863.8916,0,12.890679183409521
abiraterone acetate,Abiraterone Acetate,teva usa,1,2022,-0.085697974,0.172911209,413746.0,13932.0,128,35.0,29.69753086,3232.390625,11821.31429,0,12.933009954891835
abraxane,Paclitaxel Protein-Bound,bms-abraxis bio,1,2019,0.047226247,0.007079266,8803136.55,6318.0,1190,333.0,1393.342284,7397.59374,26435.8455,0,15.99061875567596
abraxane,Paclitaxel Protein-Bound,bms-abraxis bio,1,2020,0.047226247,0.007079266,9792937.31,6620.0,1286,319.0,1479.295666,7615.036789,30698.86304,0,16.097172103285562
abraxane,Paclitaxel Protein-Bound,bms-abraxis bio,1,2021,0.047226247,0.007079266,9534884.71,6081.0,1200,307.0,1567.979725,7945.737258,31058.25638,0,16.0704678105788
abraxane,Paclitaxel Protein-Bound,bms-abraxis bio,1,2022,0.047226247,0.007079266,6230057.81,3744.0,810,220.0,1664.011167,7691.429395,28318.44459,0,15.644896330526464
abraxane,Paclitaxel Protein-Bound,bms-abraxis bio,1,2023,0.047226247,0.007079266,7462297.97,4453.0,932,249.0,1675.791145,8006.757479,29969.06815,0,15.825374097626675
abrysvo,"Rsv Vacc, Pref A And Pref B/PF",pfizer us pharm,1,2019,0.001871153,0.000832964,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abrysvo,"Rsv Vacc, Pref A And Pref B/PF",pfizer us pharm,1,2020,0.001871153,0.000832964,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abrysvo,"Rsv Vacc, Pref A And Pref B/PF",pfizer us pharm,1,2021,0.001871153,0.000832964,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
